No	Image	Label
77	a01-000x-02-05.png	.
78	a01-000x-02-06.png	Mr.
79	a01-000x-02-07.png	Michael
80	a01-000x-03-00.png	Foot
81	a01-000x-03-01.png	has
82	a01-000x-03-02.png	put
83	a01-000x-03-03.png	down
84	a01-000x-03-04.png	a
85	a01-000x-03-05.png	resolution
86	a01-000x-03-06.png	on
87	a01-000x-03-07.png	the
88	a01-000x-03-08.png	subject
89	a01-000x-04-00.png	and
90	a01-000x-04-01.png	he
91	a01-000x-04-02.png	is
92	a01-000x-04-03.png	to
93	a01-000x-04-04.png	be
94	a01-000x-04-05.png	backed
95	a01-000x-04-06.png	by
96	a01-000x-04-07.png	Mr.
97	a01-000x-04-08.png	Will
98	a01-000x-04-09.png	Griffiths
99	a01-000x-04-10.png	,
100	a01-000x-05-00.png	0M
101	a01-000x-05-01.png	for
102	a01-000x-05-02.png	Manchester
103	a01-000x-05-03.png	Exchange
104	a01-000x-05-04.png	.
105	a01-003-00-00.png	Though
106	a01-003-00-01.png	they
107	a01-003-00-02.png	may
108	a01-003-00-03.png	gather
109	a01-003-00-04.png	some
110	a01-003-00-05.png	Left-wing
111	a01-003-00-06.png	support
112	a01-003-00-07.png	,
113	a01-003-00-08.png	a
114	a01-003-01-00.png	large
115	a01-003-01-01.png	majority
116	a01-003-01-02.png	of
117	a01-003-01-03.png	Labour
118	a01-003-01-04.png	M
119	a01-003-01-05.png	are
120	a01-003-01-06.png	likely
121	a01-003-01-07.png	to
122	a01-003-02-00.png	turn
123	a01-003-02-01.png	down
124	a01-003-02-02.png	the
125	a01-003-02-03.png	Foot-Griffiths
126	a01-003-02-04.png	resolution
127	a01-003-02-05.png	.
128	a01-003-02-06.png	Mr.
129	a01-003-03-00.png	Foot's
130	a01-003-03-01.png	line
131	a01-003-03-02.png	will
132	a01-003-03-03.png	be
133	a01-003-03-04.png	that
134	a01-003-03-05.png	as
135	a01-003-03-06.png	Labour
136	a01-003-03-07.png	M
137	a01-003-04-00.png	opposed
138	a01-003-04-01.png	the
139	a01-003-04-02.png	Government
140	a01-003-04-03.png	Bill
141	a01-003-04-04.png	which
142	a01-003-04-05.png	brought
143	a01-003-05-00.png	life
144	a01-003-05-01.png	peers
145	a01-003-05-02.png	into
146	a01-003-05-03.png	existence
147	a01-003-05-04.png	,
148	a01-003-05-05.png	they
149	a01-003-05-06.png	should
150	a01-003-05-07.png	not
151	a01-003-06-00.png	now
152	a01-003-06-01.png	put
153	a01-003-06-02.png	forward
154	a01-003-06-03.png	nominees
155	a01-003-06-04.png	.
156	a01-003-06-05.png	He
157	a01-003-06-06.png	believes
158	a01-003-07-00.png	that
159	a01-003-07-01.png	the
160	a01-003-07-02.png	House
161	a01-003-07-03.png	of
162	a01-003-07-04.png	Lords
163	a01-003-07-05.png	should
164	a01-003-07-06.png	be
165	a01-003-07-07.png	abolished
166	a01-003-08-00.png	and
167	a01-003-08-01.png	that
168	a01-003-08-02.png	Labour
169	a01-003-08-03.png	should
170	a01-003-08-04.png	not
171	a01-003-08-05.png	take
172	a01-003-08-06.png	any
173	a01-003-08-07.png	steps
174	a01-003-09-00.png	which
175	a01-003-09-01.png	would
176	a01-003-09-02.png	appear
177	a01-003-09-03.png	to
178	a01-003-09-04.png	""""
179	a01-003-09-05.png	prop
180	a01-003-09-06.png	up
181	a01-003-09-07.png	""""
182	a01-003-09-08.png	an
183	a01-003-09-09.png	out-dated
184	a01-003u-00-00.png	Though
185	a01-003u-00-01.png	they
186	a01-003u-00-02.png	may
187	a01-003u-00-03.png	gather
188	a01-003u-00-04.png	some
189	a01-003u-00-05.png	Left-wing
190	a01-003u-01-00.png	support
191	a01-003u-01-01.png	,
192	a01-003u-01-02.png	a
193	a01-003u-01-03.png	large
194	a01-003u-01-04.png	majority
195	a01-003u-01-05.png	of
196	a01-003u-01-06.png	Labour
197	a01-003u-02-00.png	M
198	a01-003u-02-01.png	are
199	a01-003u-02-02.png	likely
200	a01-003u-02-03.png	to
201	a01-003u-02-04.png	turn
202	a01-003u-02-05.png	down
203	a01-003u-02-06.png	the
204	a01-003u-02-07.png	Foot-
205	a01-003u-03-00.png	Griffiths
206	a01-003u-03-01.png	resolution
207	a01-003u-03-02.png	.
208	a01-003u-03-03.png	Mr.
209	a01-003u-03-04.png	Foot's
210	a01-003u-03-05.png	line
211	a01-003u-03-06.png	will
212	a01-003u-04-00.png	be
213	a01-003u-04-01.png	that
214	a01-003u-04-02.png	as
215	a01-003u-04-03.png	Labour
216	a01-003u-04-04.png	M
217	a01-003u-04-05.png	opposed
218	a01-003u-04-06.png	the
219	a01-003u-05-00.png	Government
220	a01-003u-05-01.png	Bill
221	a01-003u-05-02.png	which
222	a01-003u-05-03.png	brought
223	a01-003u-05-04.png	life
224	a01-003u-05-05.png	peers
225	a01-003u-06-00.png	into
226	a01-003u-06-01.png	existence
227	a01-003u-06-02.png	,
228	a01-003u-06-03.png	they
229	a01-003u-06-04.png	should
230	a01-003u-06-05.png	not
231	a01-003u-06-06.png	now
232	a01-003u-06-07.png	put
233	a01-003u-07-00.png	forward
234	a01-003u-07-01.png	nominees
235	a01-003u-07-02.png	.
236	a01-003u-07-03.png	He
237	a01-003u-07-04.png	believes
238	a01-003u-07-05.png	that
239	a01-003u-07-06.png	the
240	a01-003u-08-00.png	House
241	a01-003u-08-01.png	of
242	a01-003u-08-02.png	Lords
243	a01-003u-08-03.png	should
244	a01-003u-08-04.png	be
245	a01-003u-08-05.png	abolished
246	a01-003u-08-06.png	and
247	a01-003u-09-00.png	that
248	a01-003u-09-01.png	Labour
249	a01-003u-09-02.png	should
250	a01-003u-09-03.png	not
251	a01-003u-09-04.png	take
252	a01-003u-09-05.png	any
253	a01-003u-09-06.png	steps
254	a01-003u-10-00.png	which
255	a01-003u-10-01.png	would
256	a01-003u-10-02.png	appear
257	a01-003u-10-03.png	to
258	a01-003u-10-04.png	""""
259	a01-003u-10-05.png	prop
260	a01-003u-10-06.png	up
261	a01-003u-10-07.png	""""
262	a01-003u-10-08.png	an
263	a01-003u-10-09.png	out-
264	a01-003x-00-00.png	Though
265	a01-003x-00-01.png	they
266	a01-003x-00-02.png	may
267	a01-003x-00-03.png	gather
268	a01-003x-00-04.png	some
269	a01-003x-00-05.png	Left-wing
270	a01-003x-00-06.png	support
271	a01-003x-00-07.png	,
272	a01-003x-00-08.png	a
273	a01-003x-01-00.png	large
274	a01-003x-01-01.png	majority
275	a01-003x-01-02.png	of
276	a01-003x-01-03.png	Labour
277	a01-003x-01-04.png	0M
278	a01-003x-01-05.png	are
279	a01-003x-01-06.png	likely
280	a01-003x-01-07.png	to
281	a01-003x-01-08.png	turn
282	a01-003x-02-00.png	down
283	a01-003x-02-01.png	the
284	a01-003x-02-02.png	Foot-Griffiths
285	a01-003x-02-03.png	resolution
286	a01-003x-02-04.png	.
287	a01-003x-02-05.png	Mr.
288	a01-003x-02-06.png	Foot's
289	a01-003x-02-07.png	line
290	a01-003x-03-00.png	will
291	a01-003x-03-01.png	be
292	a01-003x-03-02.png	that
293	a01-003x-03-03.png	as
294	a01-003x-03-04.png	Labour
295	a01-003x-03-05.png	0M
296	a01-003x-03-06.png	opposed
297	a01-003x-03-07.png	the
298	a01-003x-03-08.png	Govern-
299	a01-003x-04-00.png	ment
300	a01-003x-04-01.png	Bill
301	a01-003x-04-02.png	which
302	a01-003x-04-03.png	brought
303	a01-003x-04-04.png	life
304	a01-003x-04-05.png	peers
305	a01-003x-04-06.png	into
306	a01-003x-04-07.png	existence
307	a01-003x-04-08.png	,
308	a01-003x-04-09.png	they
309	a01-003x-05-00.png	should
310	a01-003x-05-01.png	not
311	a01-003x-05-02.png	now
312	a01-003x-05-03.png	put
313	a01-003x-05-04.png	forward
314	a01-003x-05-05.png	nominees
315	a01-003x-05-06.png	.
316	a01-003x-05-07.png	He
317	a01-003x-05-08.png	believes
318	a01-003x-06-00.png	that
319	a01-003x-06-01.png	the
320	a01-003x-06-02.png	House
321	a01-003x-06-03.png	of
322	a01-003x-06-04.png	Lords
323	a01-003x-06-05.png	should
324	a01-003x-06-06.png	be
325	a01-003x-06-07.png	abolished
326	a01-003x-06-08.png	and
327	a01-003x-07-00.png	that
328	a01-003x-07-01.png	Labour
329	a01-003x-07-02.png	should
330	a01-003x-07-03.png	not
331	a01-003x-07-04.png	take
332	a01-003x-07-05.png	any
333	a01-003x-07-06.png	steps
334	a01-003x-07-07.png	which
335	a01-003x-07-08.png	would
336	a01-003x-08-00.png	appear
337	a01-003x-08-01.png	to
338	a01-003x-08-02.png	""""
339	a01-003x-08-03.png	prop
340	a01-003x-08-04.png	up
341	a01-003x-08-05.png	""""
342	a01-003x-08-06.png	an
343	a01-003x-08-07.png	out-dated
344	a01-003x-08-08.png	institution
345	a01-003x-08-09.png	.
346	a01-007-00-00.png	Since
347	a01-007-00-01.png	1958
348	a01-007-00-02.png	,
349	a01-007-00-03.png	13
350	a01-007-00-04.png	Labour
351	a01-007-00-05.png	life
352	a01-007-00-06.png	Peers
353	a01-007-00-07.png	and
354	a01-007-01-00.png	Peeresses
355	a01-007-01-01.png	have
356	a01-007-01-02.png	been
357	a01-007-01-03.png	created
358	a01-007-01-04.png	.
359	a01-007-01-05.png	Most
360	a01-007-01-06.png	Labour
361	a01-007-02-00.png	sentiment
362	a01-007-02-01.png	would
363	a01-007-02-02.png	#
364	a01-007-02-03.png	still
365	a01-007-02-04.png	favour
366	a01-007-02-05.png	the
367	a01-007-02-06.png	abolition
368	a01-007-03-00.png	of
369	a01-007-03-01.png	the
370	a01-007-03-02.png	House
371	a01-007-03-03.png	of
372	a01-007-03-04.png	Lords
373	a01-007-03-05.png	,
374	a01-007-03-06.png	but
375	a01-007-03-07.png	while
376	a01-007-03-08.png	it
377	a01-007-03-09.png	remains
378	a01-007-04-00.png	Labour
379	a01-007-04-01.png	has
380	a01-007-04-02.png	to
381	a01-007-04-03.png	have
382	a01-007-04-04.png	an
383	a01-007-04-05.png	adequate
384	a01-007-04-06.png	number
385	a01-007-04-07.png	of
386	a01-007-05-00.png	members
387	a01-007-05-01.png	.
388	a01-007-05-02.png	THE
389	a01-007-05-03.png	two
390	a01-007-05-04.png	rival
391	a01-007-05-05.png	African
392	a01-007-05-06.png	Nationalist
393	a01-007-06-00.png	Parties
394	a01-007-06-01.png	of
395	a01-007-06-02.png	Northern
396	a01-007-06-03.png	Rhodesia
397	a01-007-06-04.png	have
398	a01-007-06-05.png	agreed
399	a01-007-06-06.png	to
400	a01-007-07-00.png	get
401	a01-007-07-01.png	together
402	a01-007-07-02.png	to
403	a01-007-07-03.png	face
404	a01-007-07-04.png	the
405	a01-007-07-05.png	challenge
406	a01-007-07-06.png	from
407	a01-007-07-07.png	Sir
408	a01-007-08-00.png	Roy
409	a01-007-08-01.png	Welensky
410	a01-007-08-02.png	,
411	a01-007-08-03.png	the
412	a01-007-08-04.png	Federal
413	a01-007-08-05.png	Premier
414	a01-007-08-06.png	.
415	a01-007u-00-00.png	Since
416	a01-007u-00-01.png	1958
417	a01-007u-00-02.png	,
418	a01-007u-00-03.png	13
419	a01-007u-00-04.png	Labour
420	a01-007u-00-05.png	life
421	a01-007u-00-06.png	Peers
422	a01-007u-00-07.png	and
423	a01-007u-01-00.png	Peeresses
424	a01-007u-01-01.png	have
425	a01-007u-01-02.png	been
426	a01-007u-01-03.png	created
427	a01-007u-01-04.png	.
428	a01-007u-01-05.png	Most
429	a01-007u-01-06.png	Labour
430	a01-007u-02-00.png	sentiment
431	a01-007u-02-01.png	would
432	a01-007u-02-02.png	still
433	a01-007u-02-03.png	favour
434	a01-007u-02-04.png	the
435	a01-007u-02-05.png	abolition
436	a01-007u-03-00.png	of
437	a01-007u-03-01.png	the
438	a01-007u-03-02.png	House
439	a01-007u-03-03.png	of
440	a01-007u-03-04.png	Lords
441	a01-007u-03-05.png	,
442	a01-007u-03-06.png	but
443	a01-007u-03-07.png	while
444	a01-007u-03-08.png	it
445	a01-007u-03-09.png	remains
446	a01-007u-04-00.png	Labour
447	a01-007u-04-01.png	has
448	a01-007u-04-02.png	to
449	a01-007u-04-03.png	have
450	a01-007u-04-04.png	an
451	a01-007u-04-05.png	adequate
452	a01-007u-04-06.png	number
453	a01-007u-05-00.png	of
454	a01-007u-05-01.png	members
455	a01-007u-05-02.png	.
456	a01-007u-05-03.png	THE
457	a01-007u-05-04.png	two
458	a01-007u-05-05.png	rival
459	a01-007u-05-06.png	African
460	a01-007u-06-00.png	Nationalist
461	a01-007u-06-01.png	Parties
462	a01-007u-06-02.png	of
463	a01-007u-06-03.png	Northern
464	a01-007u-06-04.png	Rhodesia
465	a01-007u-07-00.png	have
466	a01-007u-07-01.png	agreed
467	a01-007u-07-02.png	to
468	a01-007u-07-03.png	get
469	a01-007u-07-04.png	together
470	a01-007u-07-05.png	to
471	a01-007u-07-06.png	face
472	a01-007u-08-00.png	the
473	a01-007u-08-01.png	challenge
474	a01-007u-08-02.png	from
475	a01-007u-08-03.png	Sir
476	a01-007u-08-04.png	Roy
477	a01-007u-08-05.png	Welensky
478	a01-007u-08-06.png	,
479	a01-007u-09-00.png	the
480	a01-007u-09-01.png	Federal
481	a01-007u-09-02.png	Premier
482	a01-007u-09-03.png	.
483	a01-007x-00-00.png	Since
484	a01-007x-00-01.png	1958
485	a01-007x-00-02.png	,
486	a01-007x-00-03.png	13
487	a01-007x-00-04.png	Labour
488	a01-007x-00-05.png	life
489	a01-007x-00-06.png	Peers
490	a01-007x-00-07.png	and
491	a01-007x-00-08.png	#
492	a01-007x-01-00.png	Peeresses
493	a01-007x-01-01.png	have
494	a01-007x-01-02.png	been
495	a01-007x-01-03.png	created
496	a01-007x-01-04.png	.
497	a01-007x-01-05.png	Most
498	a01-007x-01-06.png	Labour
499	a01-007x-01-07.png	sentiment
500	a01-007x-02-00.png	would
501	a01-007x-02-01.png	still
502	a01-007x-02-02.png	favour
503	a01-007x-02-03.png	the
504	a01-007x-02-04.png	abolition
505	a01-007x-02-05.png	of
506	a01-007x-02-06.png	the
507	a01-007x-02-07.png	House
508	a01-007x-03-00.png	of
509	a01-007x-03-01.png	Lords
510	a01-007x-03-02.png	,
511	a01-007x-03-03.png	but
512	a01-007x-03-04.png	while
513	a01-007x-03-05.png	it
514	a01-007x-03-06.png	remains
515	a01-007x-03-07.png	Labour
516	a01-007x-03-08.png	has
517	a01-007x-03-09.png	to
518	a01-007x-04-00.png	have
519	a01-007x-04-01.png	an
520	a01-007x-04-02.png	adequate
521	a01-007x-04-03.png	number
522	a01-007x-04-04.png	of
523	a01-007x-04-05.png	members
524	a01-007x-04-06.png	.
525	a01-007x-04-07.png	THE
526	a01-007x-05-00.png	two
527	a01-007x-05-01.png	rival
528	a01-007x-05-02.png	African
529	a01-007x-05-03.png	Nationalist
530	a01-007x-05-04.png	Parties
531	a01-007x-05-05.png	of
532	a01-007x-05-06.png	Northern
533	a01-007x-06-00.png	Rhodesia
534	a01-007x-06-01.png	have
535	a01-007x-06-02.png	agreed
536	a01-007x-06-03.png	to
537	a01-007x-06-04.png	get
538	a01-007x-06-05.png	together
539	a01-007x-06-06.png	to
540	a01-007x-06-07.png	face
541	a01-007x-06-08.png	the
542	a01-007x-07-00.png	challenge
543	a01-007x-07-01.png	from
544	a01-007x-07-02.png	Sir
545	a01-007x-07-03.png	Roy
546	a01-007x-07-04.png	Welensky
547	a01-007x-07-05.png	,
548	a01-007x-07-06.png	the
549	a01-007x-07-07.png	Federal
550	a01-007x-07-08.png	Premier
551	a01-007x-07-09.png	.
552	a01-011-00-00.png	Delegates
553	a01-011-00-01.png	from
554	a01-011-00-02.png	Mr.
555	a01-011-00-03.png	Kenneth
556	a01-011-00-04.png	Kaunda's
557	a01-011-00-05.png	United
558	a01-011-00-06.png	National
559	a01-011-00-07.png	Independence
560	a01-011-01-00.png	Party
561	a01-011-01-01.png	(
562	a01-011-01-02.png	280,000
563	a01-011-01-03.png	members
564	a01-011-01-04.png	)
565	a01-011-01-05.png	and
566	a01-011-01-06.png	Mr.
567	a01-011-01-07.png	Harry
568	a01-011-01-08.png	Nkumbula's
569	a01-011-01-09.png	African
570	a01-011-02-00.png	National
571	a01-011-02-01.png	Congress
572	a01-011-02-02.png	(
573	a01-011-02-03.png	400,000
574	a01-011-02-04.png	)
575	a01-011-02-05.png	will
576	a01-011-02-06.png	meet
577	a01-011-02-07.png	in
578	a01-011-02-08.png	London
579	a01-011-02-09.png	today
580	a01-011-03-00.png	to
581	a01-011-03-01.png	discuss
582	a01-011-03-02.png	a
583	a01-011-03-03.png	common
584	a01-011-03-04.png	course
585	a01-011-03-05.png	of
586	a01-011-03-06.png	action
587	a01-011-03-07.png	.
588	a01-011-03-08.png	Sir
589	a01-011-03-09.png	Roy
590	a01-011-03-10.png	is
591	a01-011-04-00.png	violently
592	a01-011-04-01.png	opposed
593	a01-011-04-02.png	to
594	a01-011-04-03.png	Africans
595	a01-011-04-04.png	getting
596	a01-011-04-05.png	an
597	a01-011-04-06.png	elected
598	a01-011-04-07.png	majority
599	a01-011-05-00.png	in
600	a01-011-05-01.png	Northern
601	a01-011-05-02.png	Rhodesia
602	a01-011-05-03.png	,
603	a01-011-05-04.png	but
604	a01-011-05-05.png	the
605	a01-011-05-06.png	Colonial
606	a01-011-05-07.png	Secretary
607	a01-011-05-08.png	,
608	a01-011-06-00.png	Mr.
609	a01-011-06-01.png	Iain
610	a01-011-06-02.png	Macleod
611	a01-011-06-03.png	,
612	a01-011-06-04.png	is
613	a01-011-06-05.png	insisting
614	a01-011-06-06.png	on
615	a01-011-06-07.png	a
616	a01-011-06-08.png	policy
617	a01-011-06-09.png	of
618	a01-011-06-10.png	change
619	a01-011-06-11.png	.
620	a01-011u-00-00.png	Delegates
621	a01-011u-00-01.png	from
622	a01-011u-00-02.png	Mr.
623	a01-011u-00-03.png	Kenneth
624	a01-011u-00-04.png	Kaunda's
625	a01-011u-01-00.png	United
626	a01-011u-01-01.png	National
627	a01-011u-01-02.png	Independence
628	a01-011u-01-03.png	Party
629	a01-011u-02-00.png	(
630	a01-011u-02-01.png	280,000
631	a01-011u-02-02.png	members
632	a01-011u-02-03.png	)
633	a01-011u-02-04.png	and
634	a01-011u-02-05.png	Mr.
635	a01-011u-02-06.png	Harry
636	a01-011u-02-07.png	Nkumbula's
637	a01-011u-03-00.png	African
638	a01-011u-03-01.png	National
639	a01-011u-03-02.png	Congress
640	a01-011u-03-03.png	(
641	a01-011u-03-04.png	400,000
642	a01-011u-03-05.png	)
643	a01-011u-03-06.png	will
644	a01-011u-04-00.png	meet
645	a01-011u-04-01.png	in
646	a01-011u-04-02.png	London
647	a01-011u-04-03.png	today
648	a01-011u-04-04.png	to
649	a01-011u-04-05.png	discuss
650	a01-011u-04-06.png	a
651	a01-011u-04-07.png	common
652	a01-011u-05-00.png	course
653	a01-011u-05-01.png	of
654	a01-011u-05-02.png	action
655	a01-011u-05-03.png	.
656	a01-011u-05-04.png	Sir
657	a01-011u-05-05.png	Roy
658	a01-011u-05-06.png	is
659	a01-011u-05-07.png	violently
660	a01-011u-06-00.png	opposed
661	a01-011u-06-01.png	to
662	a01-011u-06-02.png	Africans
663	a01-011u-06-03.png	getting
664	a01-011u-06-04.png	an
665	a01-011u-06-05.png	elected
666	a01-011u-07-00.png	majority
667	a01-011u-07-01.png	in
668	a01-011u-07-02.png	Northern
669	a01-011u-07-03.png	Rhodesia
670	a01-011u-07-04.png	,
671	a01-011u-07-05.png	but
672	a01-011u-07-06.png	the
673	a01-011u-08-00.png	Colonial
674	a01-011u-08-01.png	Secretary
675	a01-011u-08-02.png	,
676	a01-011u-08-03.png	Mr.
677	a01-011u-08-04.png	Iain
678	a01-011u-08-05.png	Macleod
679	a01-011u-08-06.png	,
680	a01-011u-09-00.png	is
681	a01-011u-09-01.png	insisting
682	a01-011u-09-02.png	on
683	a01-011u-09-03.png	a
684	a01-011u-09-04.png	policy
685	a01-011u-09-05.png	of
686	a01-011u-09-06.png	change
687	a01-011u-09-07.png	.
688	a01-011x-00-00.png	Delegates
689	a01-011x-00-01.png	from
690	a01-011x-00-02.png	Mr.
691	a01-011x-00-03.png	Kenneth
692	a01-011x-00-04.png	Kaunda's
693	a01-011x-00-05.png	United
694	a01-011x-01-00.png	National
695	a01-011x-01-01.png	Independence
696	a01-011x-01-02.png	Party
697	a01-011x-01-03.png	(
698	a01-011x-01-04.png	280,000
699	a01-011x-01-05.png	members
700	a01-011x-01-06.png	)
701	a01-011x-02-00.png	and
702	a01-011x-02-01.png	Mr.
703	a01-011x-02-02.png	Harry
704	a01-011x-02-03.png	Nkumbula's
705	a01-011x-02-04.png	African
706	a01-011x-02-05.png	National
707	a01-011x-03-00.png	Congress
708	a01-011x-03-01.png	(
709	a01-011x-03-02.png	400,000
710	a01-011x-03-03.png	)
711	a01-011x-03-04.png	will
712	a01-011x-03-05.png	meet
713	a01-011x-03-06.png	in
714	a01-011x-03-07.png	London
715	a01-011x-03-08.png	today
716	a01-011x-04-00.png	to
717	a01-011x-04-01.png	discuss
718	a01-011x-04-02.png	a
719	a01-011x-04-03.png	common
720	a01-011x-04-04.png	course
721	a01-011x-04-05.png	of
722	a01-011x-04-06.png	action
723	a01-011x-04-07.png	.
724	a01-011x-05-00.png	Sir
725	a01-011x-05-01.png	Roy
726	a01-011x-05-02.png	is
727	a01-011x-05-03.png	violently
728	a01-011x-05-04.png	opposed
729	a01-011x-05-05.png	to
730	a01-011x-05-06.png	Africans
731	a01-011x-06-00.png	getting
732	a01-011x-06-01.png	an
733	a01-011x-06-02.png	elected
734	a01-011x-06-03.png	majority
735	a01-011x-06-04.png	in
736	a01-011x-06-05.png	Northern
737	a01-011x-07-00.png	Rhodesia
738	a01-011x-07-01.png	,
739	a01-011x-07-02.png	but
740	a01-011x-07-03.png	the
741	a01-011x-07-04.png	Colonial
742	a01-011x-07-05.png	Secretary
743	a01-011x-07-06.png	,
744	a01-011x-07-07.png	Mr.
745	a01-011x-07-08.png	Iain
746	a01-011x-08-00.png	Macleod
747	a01-011x-08-01.png	,
748	a01-011x-08-02.png	is
749	a01-011x-08-03.png	insisting
750	a01-011x-08-04.png	on
751	a01-011x-08-05.png	a
752	a01-011x-08-06.png	policy
753	a01-011x-08-07.png	of
754	a01-011x-08-08.png	change
755	a01-011x-08-09.png	.
756	a01-014-00-00.png	Sir
757	a01-014-00-01.png	Roy's
758	a01-014-00-02.png	United
759	a01-014-00-03.png	Federal
760	a01-014-00-04.png	Party
761	a01-014-00-05.png	is
762	a01-014-00-06.png	boycotting
763	a01-014-01-00.png	the
764	a01-014-01-01.png	London
765	a01-014-01-02.png	talks
766	a01-014-01-03.png	on
767	a01-014-01-04.png	the
768	a01-014-01-05.png	Protectorate's
769	a01-014-02-00.png	future
770	a01-014-02-01.png	.
771	a01-014-02-02.png	Said
772	a01-014-02-03.png	Mr.
773	a01-014-02-04.png	Nkumbula
774	a01-014-02-05.png	last
775	a01-014-02-06.png	night
776	a01-014-02-07.png	:
777	a01-014-03-00.png	""""
778	a01-014-03-01.png	We
779	a01-014-03-02.png	want
780	a01-014-03-03.png	to
781	a01-014-03-04.png	discuss
782	a01-014-03-05.png	what
783	a01-014-03-06.png	to
784	a01-014-03-07.png	do
785	a01-014-03-08.png	if
786	a01-014-03-09.png	the
787	a01-014-04-00.png	British
788	a01-014-04-01.png	Government
789	a01-014-04-02.png	gives
790	a01-014-04-03.png	in
791	a01-014-04-04.png	to
792	a01-014-04-05.png	Sir
793	a01-014-04-06.png	Roy
794	a01-014-04-07.png	and
795	a01-014-05-00.png	the
796	a01-014-05-01.png	talks
797	a01-014-05-02.png	fall
798	a01-014-05-03.png	through
799	a01-014-05-04.png	.
800	a01-014-05-05.png	There
801	a01-014-05-06.png	are
802	a01-014-05-07.png	bound
803	a01-014-06-00.png	to
804	a01-014-06-01.png	be
805	a01-014-06-02.png	demonstrations
806	a01-014-06-03.png	.
807	a01-014-06-04.png	""""
808	a01-014-06-05.png	Yesterday
809	a01-014-06-06.png	Sir
810	a01-014-06-07.png	Roy's
811	a01-014-07-00.png	chief
812	a01-014-07-01.png	aide
813	a01-014-07-02.png	,
814	a01-014-07-03.png	Mr.
815	a01-014-07-04.png	Julius
816	a01-014-07-05.png	Greenfield
817	a01-014-07-06.png	,
818	a01-014-07-07.png	telephoned
819	a01-014-08-00.png	his
820	a01-014-08-01.png	chief
821	a01-014-08-02.png	a
822	a01-014-08-03.png	report
823	a01-014-08-04.png	on
824	a01-014-08-05.png	his
825	a01-014-08-06.png	talks
826	a01-014-08-07.png	with
827	a01-014-09-00.png	Mr.
828	a01-014-09-01.png	Macmillan
829	a01-014-09-02.png	at
830	a01-014-09-03.png	Chequers
831	a01-014-09-04.png	.
832	a01-014u-00-00.png	Sir
833	a01-014u-00-01.png	Roy's
834	a01-014u-00-02.png	United
835	a01-014u-00-03.png	Federal
836	a01-014u-00-04.png	Party
837	a01-014u-00-05.png	is
838	a01-014u-01-00.png	boycotting
839	a01-014u-01-01.png	the
840	a01-014u-01-02.png	London
841	a01-014u-01-03.png	talks
842	a01-014u-01-04.png	on
843	a01-014u-01-05.png	the
844	a01-014u-02-00.png	Protectorate's
